27, 217, 166
26, 217, 169
27, 223, 161
30, 230, 143
29, 222, 141
30, 222, 138
26, 222, 139
29, 216, 131
29, 203, 122
11, 233, 227
11, 235, 224
12, 235, 201
13, 247, 188
13, 244, 179
13, 248, 174
12, 235, 179
11, 237, 180
12, 244, 160
41, 203, 147
40, 203, 146
41, 199, 142
42, 217, 134
40, 228, 130
41, 201, 128
41, 232, 122
42, 222, 124
41, 207, 118
36, 18, 144
35, 34, 143
34, 37, 144
60, 15, 135
68, 21, 131
53, 23, 133
41, 22, 125
36, 21, 124
60, 22, 118
174, 149, 193
174, 150, 200
174, 145, 186
174, 149, 166
173, 140, 155
173, 152, 163
175, 146, 155
173, 149, 154
173, 147, 139
101, 155, 164
99, 148, 153
99, 145, 155
98, 157, 140
97, 154, 134
98, 156, 136
98, 175, 121
98, 164, 126
100, 156, 124
