42, 155, 176
42, 168, 193
41, 170, 192
42, 152, 185
41, 178, 186
41, 175, 185
42, 160, 179
41, 165, 173
42, 162, 165
6, 194, 176
7, 181, 199
5, 186, 206
9, 204, 195
7, 197, 194
7, 193, 200
7, 190, 185
6, 186, 189
7, 192, 179
72, 182, 137
65, 182, 154
68, 184, 158
67, 187, 149
69, 191, 148
69, 191, 148
70, 187, 146
69, 188, 144
68, 195, 135
105, 84, 176
108, 79, 197
105, 88, 195
105, 88, 191
108, 97, 197
106, 83, 191
106, 85, 186
104, 82, 177
106, 87, 175
3, 211, 86
5, 219, 98
4, 213, 98
7, 240, 84
2, 208, 82
2, 206, 89
6, 249, 82
5, 213, 79
2, 201, 76
111, 234, 255
110, 238, 255
111, 234, 255
110, 245, 255
111, 243, 255
111, 240, 255
111, 239, 255
111, 239, 255
111, 245, 231
