102, 70, 128
105, 71, 125
113, 52, 118
24, 214, 154
28, 223, 151
126, 16, 81
27, 222, 162
29, 212, 141
108, 34, 111
106, 68, 150
105, 60, 156
98, 35, 133
25, 207, 155
28, 235, 143
80, 24, 127
23, 255, 127
29, 223, 142
96, 31, 131
103, 49, 173
101, 28, 147
90, 18, 127
27, 238, 163
28, 232, 146
81, 14, 127
24, 243, 155
27, 213, 147
87, 20, 129
64, 17, 122
84, 11, 112
78, 12, 104
10, 253, 143
10, 253, 152
24, 79, 68
11, 239, 193
11, 255, 153
21, 60, 72
90, 27, 132
81, 20, 130
56, 14, 126
13, 243, 186
12, 243, 205
38, 15, 132
9, 236, 162
12, 244, 203
50, 17, 132
81, 11, 163
70, 10, 149
50, 17, 132
12, 242, 210
12, 237, 202
36, 19, 132
11, 241, 202
11, 238, 199
36, 10, 131
69, 13, 133
55, 13, 115
78, 13, 101
42, 211, 99
41, 238, 118
60, 7, 107
43, 255, 87
42, 231, 84
0, 0, 108
83, 6, 170
83, 7, 149
56, 13, 134
40, 200, 157
41, 215, 129
64, 15, 139
44, 230, 91
42, 215, 127
57, 18, 139
80, 14, 167
66, 8, 150
56, 13, 133
40, 219, 140
39, 229, 130
46, 21, 136
43, 238, 105
41, 212, 124
60, 15, 135
69, 30, 110
79, 20, 103
78, 13, 96
26, 61, 105
35, 40, 109
0, 0, 86
31, 47, 125
33, 23, 99
22, 38, 73
85, 25, 124
80, 23, 133
78, 11, 118
24, 37, 146
50, 17, 132
78, 10, 123
36, 31, 125
57, 20, 126
81, 15, 121
81, 17, 150
81, 13, 135
55, 13, 122
48, 21, 149
46, 21, 132
56, 14, 125
26, 48, 122
46, 22, 129
78, 10, 124
100, 50, 142
102, 42, 133
90, 14, 111
173, 148, 203
172, 146, 166
36, 13, 95
174, 146, 185
171, 146, 162
36, 12, 106
108, 33, 169
81, 12, 150
55, 11, 135
174, 138, 209
171, 149, 168
34, 15, 140
175, 172, 129
172, 152, 163
56, 13, 139
77, 11, 169
81, 12, 150
78, 10, 132
174, 149, 182
171, 145, 158
45, 15, 135
175, 191, 107
173, 161, 154
56, 13, 134
60, 36, 121
55, 13, 115
84, 12, 105
100, 211, 69
99, 232, 33
35, 33, 92
97, 174, 104
100, 224, 57
26, 42, 90
36, 8, 150
36, 25, 153
50, 17, 138
96, 104, 133
97, 154, 134
66, 19, 134
100, 199, 82
98, 171, 124
64, 15, 136
81, 11, 165
56, 12, 153
46, 20, 137
98, 143, 148
99, 143, 130
56, 13, 134
101, 189, 89
98, 166, 117
56, 13, 134
