31, 194, 143
33, 159, 151
31, 171, 151
31, 184, 136
31, 200, 135
26, 185, 149
32, 171, 128
29, 181, 124
28, 188, 125
14, 254, 190
12, 241, 202
12, 238, 208
15, 249, 162
15, 255, 159
14, 250, 168
13, 243, 150
13, 255, 154
13, 233, 148
44, 185, 138
43, 169, 142
43, 178, 146
46, 179, 131
43, 197, 127
41, 185, 132
43, 198, 120
43, 191, 116
43, 184, 115
126, 9, 146
114, 25, 165
107, 15, 157
102, 53, 148
102, 54, 147
99, 52, 146
95, 37, 131
112, 23, 124
104, 43, 129
162, 135, 151
163, 141, 172
163, 136, 169
160, 128, 131
162, 134, 139
162, 137, 136
162, 143, 130
162, 143, 130
162, 146, 124
107, 169, 186
106, 168, 188
107, 163, 192
106, 184, 180
105, 172, 165
104, 168, 161
105, 179, 158
104, 174, 148
105, 173, 146
