37, 88, 209
37, 99, 208
36, 101, 204
35, 100, 210
35, 97, 203
35, 101, 200
35, 95, 201
35, 104, 201
35, 101, 195
9, 182, 255
8, 176, 252
10, 187, 247
10, 196, 255
9, 187, 253
11, 193, 246
8, 189, 252
9, 181, 247
10, 194, 240
65, 135, 228
66, 139, 225
63, 133, 218
66, 139, 228
65, 143, 221
67, 139, 217
67, 142, 221
66, 140, 218
66, 147, 213
80, 11, 202
79, 18, 199
80, 12, 194
80, 15, 202
80, 12, 195
81, 13, 193
87, 12, 195
81, 13, 192
80, 20, 190
6, 228, 230
6, 202, 229
6, 191, 223
5, 237, 237
6, 216, 226
3, 161, 226
5, 225, 224
6, 232, 224
5, 216, 218
102, 188, 255
103, 183, 255
103, 186, 255
102, 193, 255
103, 191, 255
103, 189, 255
103, 195, 255
103, 194, 255
104, 197, 255
