56, 11, 160
46, 18, 152
65, 21, 136
36, 16, 159
17, 49, 134
46, 20, 138
30, 22, 159
36, 31, 163
43, 29, 139
17, 251, 207
17, 255, 203
17, 248, 189
17, 255, 223
16, 255, 218
16, 255, 203
17, 255, 228
17, 255, 223
17, 255, 197
45, 137, 168
46, 127, 185
44, 144, 174
47, 136, 178
45, 148, 207
44, 159, 173
44, 141, 195
44, 147, 196
42, 155, 174
80, 19, 160
36, 24, 161
33, 15, 149
56, 11, 161
43, 23, 180
55, 11, 143
66, 16, 161
35, 36, 133
42, 19, 136
158, 107, 193
158, 108, 189
158, 113, 181
162, 122, 207
157, 109, 195
158, 105, 194
160, 112, 196
162, 114, 188
161, 111, 170
96, 62, 174
98, 64, 176
96, 61, 162
96, 64, 174
101, 192, 53
96, 65, 166
96, 46, 167
89, 55, 162
96, 51, 151
