29, 198, 153
27, 211, 152
28, 202, 144
28, 216, 144
29, 210, 135
29, 214, 132
27, 225, 136
26, 211, 139
29, 208, 124
29, 198, 153
27, 210, 153
29, 202, 145
28, 216, 144
28, 215, 139
29, 238, 132
27, 236, 136
27, 206, 136
29, 197, 123
28, 201, 162
28, 216, 150
27, 212, 150
29, 201, 146
29, 202, 135
29, 224, 130
29, 205, 128
27, 220, 132
28, 228, 124
11, 237, 227
12, 242, 216
11, 238, 201
13, 247, 190
13, 238, 181
13, 254, 178
12, 248, 183
12, 244, 193
13, 248, 170
11, 235, 232
12, 239, 221
12, 234, 207
11, 245, 198
12, 243, 193
13, 247, 185
12, 244, 183
11, 241, 187
12, 233, 171
10, 227, 235
11, 243, 219
12, 241, 207
11, 238, 201
12, 244, 182
12, 243, 176
13, 248, 170
12, 241, 184
13, 251, 178
41, 205, 144
42, 216, 139
42, 206, 141
42, 208, 137
41, 214, 130
40, 218, 130
41, 215, 121
41, 224, 122
42, 223, 119
42, 213, 141
41, 205, 139
43, 190, 148
43, 215, 134
42, 216, 130
41, 207, 133
41, 229, 117
42, 211, 122
40, 224, 124
41, 207, 154
41, 219, 143
43, 212, 137
42, 214, 138
42, 222, 133
41, 227, 126
42, 206, 120
42, 223, 120
42, 211, 117
36, 9, 143
33, 17, 134
42, 33, 138
78, 19, 134
68, 21, 131
68, 22, 130
36, 10, 123
36, 10, 124
48, 26, 120
79, 14, 146
35, 22, 137
34, 26, 135
81, 19, 136
50, 18, 131
62, 32, 129
66, 21, 120
50, 19, 122
46, 24, 118
55, 11, 143
36, 19, 137
43, 30, 137
80, 18, 131
81, 14, 127
66, 19, 132
36, 10, 122
34, 15, 123
46, 23, 122
172, 155, 199
174, 147, 181
172, 153, 178
172, 155, 183
173, 146, 166
174, 149, 166
173, 152, 151
171, 142, 145
173, 153, 150
172, 148, 184
173, 143, 170
173, 149, 178
172, 153, 178
174, 145, 165
173, 153, 173
173, 144, 143
173, 142, 144
173, 148, 155
173, 151, 204
172, 149, 178
172, 151, 172
172, 154, 182
174, 143, 164
172, 150, 158
176, 147, 154
171, 150, 138
173, 153, 150
100, 150, 148
100, 154, 144
99, 143, 144
99, 159, 136
98, 165, 130
100, 152, 131
100, 159, 122
99, 162, 126
99, 153, 120
100, 153, 160
101, 149, 156
99, 143, 150
100, 166, 144
98, 161, 138
99, 163, 136
100, 157, 120
98, 160, 126
97, 147, 120
101, 153, 165
98, 152, 143
99, 161, 135
99, 158, 142
98, 165, 133
98, 151, 120
99, 166, 123
100, 159, 122
97, 159, 111
