30, 114, 155
29, 127, 159
30, 126, 162
27, 124, 161
28, 127, 159
26, 115, 166
28, 122, 165
28, 127, 163
27, 131, 161
14, 255, 245
14, 255, 248
14, 255, 255
14, 255, 229
14, 255, 232
15, 255, 236
14, 255, 236
14, 255, 245
15, 255, 236
40, 174, 182
39, 182, 185
38, 174, 188
40, 192, 177
40, 177, 182
40, 156, 181
41, 162, 181
41, 175, 185
40, 170, 181
80, 14, 160
79, 22, 162
108, 15, 166
36, 8, 158
78, 8, 160
21, 27, 162
36, 8, 163
55, 9, 165
36, 16, 158
169, 141, 225
170, 134, 220
170, 132, 228
168, 138, 211
169, 135, 216
169, 129, 215
169, 129, 216
169, 140, 227
169, 131, 213
99, 116, 187
99, 119, 187
99, 112, 193
98, 119, 178
98, 116, 183
99, 117, 186
99, 121, 187
99, 120, 189
98, 118, 180
