29, 101, 171
29, 111, 170
34, 96, 173
27, 117, 176
29, 107, 167
28, 101, 167
27, 108, 172
30, 124, 164
26, 122, 165
14, 255, 244
15, 255, 227
15, 255, 230
14, 255, 246
14, 255, 228
13, 255, 236
14, 255, 234
14, 255, 233
13, 255, 236
39, 196, 191
38, 195, 188
38, 198, 187
39, 194, 187
39, 191, 183
38, 196, 182
39, 184, 184
40, 197, 185
38, 186, 178
42, 27, 167
69, 19, 171
46, 17, 167
33, 14, 163
55, 9, 165
36, 15, 165
78, 8, 161
68, 17, 166
50, 14, 161
167, 138, 225
168, 136, 220
168, 133, 215
166, 135, 218
167, 137, 214
168, 129, 202
166, 134, 210
168, 138, 216
169, 136, 205
94, 73, 171
95, 79, 167
94, 76, 165
95, 77, 173
93, 77, 166
94, 74, 161
95, 79, 167
96, 86, 171
96, 78, 160
